trimestre,codi_districte,codi_barri,precio_log10
1,1,1,2.8662814302755377
1,1,2,2.956773330971327
1,1,3,2.859006126719815
1,1,4,2.951958882731874
1,2,5,2.940058042450923
1,2,6,2.927903919621254
1,2,7,3.061109281036662
1,2,8,3.0006466171677864
1,2,9,2.9586021032767227
1,2,10,2.9429847369723072
1,3,11,2.8547370852794427
1,3,12,2.624291617992895
1,3,13,2.8383200623287914
1,3,14,2.906518204321726
1,3,15,2.832617472757271
1,3,16,2.8688500772104053
1,3,17,2.843594020642757
1,3,18,2.86762656253523
1,4,19,2.9714243001091982
1,4,20,2.952526071556139
1,4,21,3.2687113284830582
1,5,22,3.0962145853464054
1,5,23,3.111094410509336
1,5,24,3.1808481421985206
1,5,25,3.0726615651176212
1,5,26,3.1033281304633857
1,5,27,2.9606847801303853
1,6,28,2.97616191216688
1,6,29,2.837222163476624
1,6,30,2.924992184418711
1,6,31,2.922772153814164
1,6,32,2.923912048597805
1,7,33,2.871502882399198
1,7,34,2.8043439184798657
1,7,35,2.8589400263453966
1,7,36,2.9100531508553624
1,7,37,2.7760397977247604
1,7,38,2.82210266864692
1,7,39,2.7940207370609906
1,7,40,2.8551737633323073
1,7,41,2.91171676912009
1,7,42,2.624291617992895
1,7,43,2.8260034947679116
1,8,44,2.8371905735987446
1,8,45,2.8159627317658584
1,8,46,2.768652898081806
1,8,47,2.624291617992895
1,8,48,2.802459004258502
1,8,49,2.838609848181629
1,8,50,2.7026975799016686
1,8,51,2.7748671796970497
1,8,52,2.7955880733480636
1,8,53,2.732940305121614
1,8,54,2.6212490044269763
1,8,55,2.6619924216544906
1,8,56,2.624291617992895
1,9,57,2.697089787976414
1,9,58,2.624291617992895
1,9,59,2.794362550187309
1,9,60,2.8504011479971583
1,9,61,2.759841527748095
1,9,62,2.842634198346347
1,9,63,2.8553858788934434
1,10,64,2.8788491163741616
1,10,65,2.8892848907816204
1,10,66,2.929791747962691
1,10,67,3.044684762318801
1,10,68,2.93896979722289
1,10,69,3.0600175425316003
1,10,70,2.770041554319669
1,10,71,2.9998349367328694
1,10,72,2.8704390220114075
1,10,73,2.8311720403304292
2,1,1,2.853874570080836
2,1,2,2.9859471355883525
2,1,3,2.868203455637116
2,1,4,2.9685436521421136
2,2,5,2.9469383633878192
2,2,6,2.9385047147391474
2,2,7,3.0857114650053794
2,2,8,3.018816960496708
2,2,9,2.9777053188204183
2,2,10,2.9483053569683797
2,3,11,2.878981123393736
2,3,12,2.624291617992895
2,3,13,2.8022810175198387
2,3,14,2.894880721431866
2,3,15,2.8748353715241333
2,3,16,2.8813732428365677
2,3,17,2.8842571169112214
2,3,18,2.8922449093826352
2,4,19,3.0029604609825986
2,4,20,2.9454932043025925
2,4,21,3.2218391950326537
2,5,22,3.042051523152904
2,5,23,3.153467289710608
2,5,24,3.21663030938796
2,5,25,3.0920922523825283
2,5,26,3.109656152814584
2,5,27,2.9554087118535692
2,6,28,2.9627669805766996
2,6,29,2.845897646148486
2,6,30,2.932321531989293
2,6,31,2.930730046744515
2,6,32,2.940720635035879
2,7,33,2.878596469349072
2,7,34,2.8513684375911352
2,7,35,2.858705589372415
2,7,36,2.8582182770714613
2,7,37,2.7763960539429053
2,7,38,2.8272723215003692
2,7,39,2.8330195470765314
2,7,40,2.830646399712519
2,7,41,2.9133422279937986
2,7,42,2.624291617992895
2,7,43,2.8504563046742306
2,8,44,2.8449801440825686
2,8,45,2.8068241518728776
2,8,46,2.778758837446534
2,8,47,2.6098290995751103
2,8,48,2.801012462976544
2,8,49,2.8309092995464433
2,8,50,2.7041247673917703
2,8,51,2.763180824656444
2,8,52,2.7907143192409887
2,8,53,2.7269715836828765
2,8,54,2.624291617992895
2,8,55,2.6396557912690186
2,8,56,2.4807540917240707
2,9,57,2.6383993936273717
2,9,58,2.624291617992895
2,9,59,2.8113671918225434
2,9,60,2.862185066246429
2,9,61,2.8173736295230944
2,9,62,2.8599064929191176
2,9,63,2.8942495839514613
2,10,64,2.884081333949813
2,10,65,2.8697654564580897
2,10,66,2.957674317418929
2,10,67,3.128925660892319
2,10,68,2.954189425758579
2,10,69,2.98468929972488
2,10,70,2.78290956540264
2,10,71,2.9736634610577153
2,10,72,2.875472201021432
2,10,73,2.8272852496247385
3,1,1,2.8835762710231547
3,1,2,3.012200073409516
3,1,3,2.879772324004687
3,1,4,2.967154686810154
3,2,5,2.970132931183973
3,2,6,2.9575019327321312
3,2,7,3.0715543226222985
3,2,8,3.0406853939581753
3,2,9,2.9777921726887064
3,2,10,2.9649475432257746
3,3,11,2.880739298712545
3,3,12,2.624291617992895
3,3,13,2.8524372940466267
3,3,14,2.9125621295547575
3,3,15,2.8907785915947697
3,3,16,2.93535105294323
3,3,17,2.9011857801371503
3,3,18,2.909812679193628
3,4,19,3.00585374766537
3,4,20,2.9870895036350924
3,4,21,3.274716528406966
3,5,22,3.133673008019425
3,5,23,3.1348175542859287
3,5,24,3.244771761495295
3,5,25,3.122019172080031
3,5,26,3.139192484543431
3,5,27,2.9833601269276486
3,6,28,2.960237632494016
3,6,29,2.902785874402783
3,6,30,2.905396469533994
3,6,31,2.9384897037829822
3,6,32,2.9444826721501687
3,7,33,2.905396469533994
3,7,34,2.843874088173986
3,7,35,2.8690438760940067
3,7,36,2.965084053867695
3,7,37,2.785422379711514
3,7,38,2.8087104956747995
3,7,39,2.853320929488747
3,7,40,2.8744818176994666
3,7,41,2.9062649886584104
3,7,42,2.624291617992895
3,7,43,2.8479241473439014
3,8,44,2.8753101875432177
3,8,45,2.8263534396063332
3,8,46,2.7880268840958036
3,8,47,2.624291617992895
3,8,48,2.7960398083136804
3,8,49,2.8460276753643785
3,8,50,2.748622104485519
3,8,51,2.773523156411806
3,8,52,2.796338390338597
3,8,53,2.731145381297382
3,8,54,2.665740421927511
3,8,55,2.6264327606275772
3,8,56,2.624291617992895
3,9,57,2.7261809419708456
3,9,58,2.624291617992895
3,9,59,2.8153917720345554
3,9,60,2.871998848904512
3,9,61,2.8404135062907443
3,9,62,2.881493074184943
3,9,63,2.8977315293035404
3,10,64,2.9018395920512297
3,10,65,2.8894529787501897
3,10,66,2.9567637359537753
3,10,67,3.075276811911624
3,10,68,2.9627811754489377
3,10,69,3.038755237121028
3,10,70,2.7959703412029553
3,10,71,2.9703003754021777
3,10,72,2.889912087542895
3,10,73,2.8524738939524217
4,1,1,2.890270079433979
4,1,2,2.997019219814162
4,1,3,2.8842457782218074
4,1,4,2.9613166609799797
4,2,5,2.9594134852885103
4,2,6,2.9430094973461984
4,2,7,3.0881644498630965
4,2,8,3.0339421865611538
4,2,9,2.9809119377768436
4,2,10,2.9570466998959613
4,3,11,2.88094500362197
4,3,12,2.624291617992895
4,3,13,2.862173136390316
4,3,14,2.9176945204279945
4,3,15,2.887493520021617
