Id,gridcode,Shape_Leng,Shape_Area,latitude,longitude,district,neighborhood
1,2,199.109804609,2663.56926623,4588362.362627154,431388.4883193303,,
2,2,184.918045961,2125.28766233,4588048.440887717,432372.6495961991,,
3,2,248.574736688,3964.1755969,4587954.085733095,431159.9489833068,,
4,2,720.494817616,37884.2878593,4587943.65491463,433035.0855597321,,
5,2,373.06729131,10035.4089169,4587593.717294768,430809.2756194675,,
6,2,680.486565096,33853.7156827,4587466.429468747,431633.5496356404,,
7,2,1081.60036944,78486.2578906,4587366.793297053,432262.6225156722,,
8,2,852.801948302,55645.0395682,4586879.9656569455,430917.46335361537,,
9,2,564.354604053,23812.0776409,4586764.382883627,432039.4820622652,,
10,2,1114.14266842,91062.0491591,4586795.699278135,429846.4464938831,,
11,2,633.059597056,28881.794025,4586631.569057084,432524.4537087254,,
12,2,353.777197855,9152.5475824,4586529.319590566,431768.6111645,,
13,2,708.28386743,38618.4641362,4586228.046785841,432318.5464084246,,
14,2,1094.8314659,92642.3458866,4585957.477150055,426414.2046916361,,
15,2,665.407169949,33808.9326735,4585605.07578855,428774.6757026889,,
17,2,276.054873668,5472.39676673,4584892.645687398,429633.6993275913,,
18,2,1106.08791583,94450.7662885,4585017.593864259,429197.6953507728,,
20,2,628.121851015,29572.2259456,4584831.237211366,429934.0368590703,,
21,2,2429.24360884,222100.127215,4584934.716085324,427675.4102289878,,
22,2,771.779695223,35129.3246742,4584590.8980948,435301.57416491554,,
33,2,1089.83908499,87292.5106129,4584345.801687584,433256.00949014304,,
34,2,37.7291876989,68.4680983465,4584037.655281575,435084.11867812433,,
35,3,37.7291876978,68.4680983424,4583907.655281577,434574.1186781256,,
36,2,37.7291876986,68.4680983456,4583907.244718425,434964.1186781259,,
37,3,40.0000000019,100.000000009,4583897.450000001,434563.9136000001,,
38,3,37.7291876978,68.4680983424,4583887.244718426,434553.70852187456,,
39,3,612.796628875,26674.0610261,4583961.642756735,429458.1387625008,,
40,2,427.71472873,3619.85390024,4583936.653822714,435024.21126604703,,
41,2,39.9999999888,99.9999999441,4583757.45,434583.91360000055,,
42,2,40.0,100.0,4583747.450000003,434593.9136000005,,
43,3,1253.86604115,121807.783918,4583893.24823196,430995.2723291124,,
44,2,1473.95374424,132199.602534,4583890.089754511,427806.8462179678,,
45,2,180.676126323,1026.09016191,4583713.7718675565,434632.5580832249,,
48,2,37.7291876974,68.4680983408,4583337.244718424,434434.1186781249,,
49,2,894.490870262,60467.8755077,4583470.701269841,426583.79233927326,,
50,2,39.9999999925,99.9999999627,4583317.450000001,434413.9135999997,,
51,2,37.7291876978,68.4680983424,4583307.244718428,434424.11867812456,,
52,3,457.055492351,14561.0980165,4583291.055982919,429658.8572016613,,
53,2,5694.48017832,807191.842282,4583949.457942796,432207.4821136745,,
54,2,934.618095764,64949.4641878,4583215.336365983,432751.299709214,,
55,2,40.0000000019,100.000000009,4582957.449999998,434073.9135999992,,
56,2,40.0,100.0,4582947.449999999,434083.9135999996,,
57,2,40.0,100.0,4582937.449999999,434093.9135999996,,
58,2,37.7291876974,68.4680983408,4582927.244718423,434104.1186781249,,
59,2,40.0,100.0,4582917.449999999,434043.9136000005,,
60,2,40.0000000019,100.000000009,4582907.449999998,434053.913600001,,
61,2,37.7291876986,68.4680983456,4582897.244718424,434064.1186781258,,
62,2,37.7291876962,68.4680983367,4582877.655281574,434063.7085218752,,
63,2,259.909968916,4691.30935668,4582893.141888983,426896.0593416379,,
64,2,37.7291876998,68.4680983504,4582857.655281576,434053.7085218761,,
65,2,37.729187697,68.4680983392,4582837.655281577,434043.7085218755,,
66,2,37.7291876974,68.4680983408,4582817.655281576,434033.70852187526,,
68,2,1004.46373084,64892.9352694,4582932.587751297,425988.75363938615,,
69,2,37.7291876974,68.4680983408,4582797.655281577,434023.70852187526,,
70,2,37.7291876974,68.4680983408,4582777.655281576,434013.7085218752,,
71,2,37.7291876989,68.4680983465,4582757.655281576,434003.7085218749,,
72,2,37.729187697,68.4680983392,4582737.655281575,433993.7085218746,,
81,2,40.0000000019,100.000000009,4582477.449999999,433603.913600001,,
82,2,40.0,100.0,4582467.449999999,433613.9136000015,,
83,3,202.464731876,2803.49340442,4582481.780002329,431400.5813980567,,
84,2,39.9999999963,99.9999999814,4582457.449999999,433623.9136000005,,
85,2,40.0000000019,100.000000009,4582447.449999998,433563.9136000001,,
86,2,37.7291876978,68.4680983424,4582447.244718423,433634.11867812456,,
87,2,40.0,100.0,4582437.449999999,433573.9136000005,,
88,2,40.0000000037,100.000000019,4582427.449999998,433583.91360000055,,
89,2,70.6390948532,231.667363631,4582410.710904947,433598.3602145839,,
90,2,56.5885722206,136.540561544,4582371.878914388,433593.2462822919,,
91,2,37.7291876989,68.4680983465,4582337.655281576,433603.70852187584,,
92,2,56.5885722233,136.540561557,4582311.87891439,433613.2462822922,,
93,2,37.7291876974,68.4680983408,4582287.655281575,433623.70852187497,,
95,2,505.370591057,17239.0675483,4582302.7087785,426281.5496318889,,
97,2,1445.00509277,154288.074061,4582286.03141661,427694.4069378612,,
98,2,589.143888545,23733.6494619,4582070.995784347,430774.945423575,,
99,2,368.276629392,8338.99308075,4581872.9671192365,428175.5703137464,,
100,2,37.7291876994,68.4680983488,4581757.244718425,432964.1186781246,,
101,2,1593.44470292,162763.822922,4582027.475099679,427266.9261522061,,
103,2,506.226833434,17903.9260823,4581610.287146832,428058.6118576268,,
104,2,37.7291876997,68.4680983497,4581317.655281574,431833.7085218746,,
105,2,37.7291876978,68.4680983424,4581287.655281579,431873.70852187456,,
106,2,123.036405956,678.481819894,4581298.968961589,432834.08409153664,,
107,2,1669.77713527,159769.221871,4581427.501899794,426806.1382133075,,
108,2,37.7291876974,68.4680983408,4581247.655281576,431883.70852187526,,
109,2,37.7291876974,68.4680983408,4581197.655281577,431883.70852187526,,
110,2,37.7291876986,68.4680983456,4581167.655281574,431963.70852187526,,
111,2,56.7373926215,134.985382165,4581158.033496095,431929.4368747405,,
114,2,37.7291876974,68.4680983408,4581107.655281574,431993.70852187526,,
116,2,56.7373926142,134.98538213,4581098.033496093,431959.43687473953,,
119,2,37.729187697,68.4680983392,4581087.6552815735,431923.7085218756,,
121,2,56.7373926104,134.985382088,4581078.033496096,431889.4368747401,,
123,2,56.7373926099,134.985382087,4581028.033496094,431989.43687473977,,
124,2,37.7291876982,68.468098344,4581017.655281576,431953.70852187497,,
125,2,56.7373926121,134.985382094,4581008.033496095,431919.4368747399,,
127,3,9083.52729376,1976876.05997,4581895.816537478,430793.5396559654,,
129,2,56.737392618,134.985382153,4580938.033496094,431999.4368747401,,
130,2,37.7291876986,68.4680983456,4580927.655281574,431963.70852187526,,
132,2,40.0,100.0,4580817.45,431793.9136000005,,
133,2,37.7294542894,68.4691429122,4580787.244921877,431414.1186781249,,
134,3,1640.91862496,133660.634624,4581095.330281016,432272.0518042916,,
135,3,240.817367694,4037.57522809,4580799.639930429,431258.2355176633,,
136,2,40.0,100.0,4580767.45,431763.9135999996,,
137,2,40.0,100.0,4580757.45,431753.9135999996,,
138,2,135.264407803,794.106733802,4580761.134106282,431443.14964023663,,
139,2,37.7294542917,68.4691429204,4580737.655078125,431483.7085218762,,
140,2,39.9999999944,99.9999999721,4580727.449999999,431493.9136000001,,
141,3,563.719644701,20364.5885714,4580815.047334506,431717.0083768448,,
142,3,786.920464073,46793.2818803,4580843.921395719,428860.158664914,,
143,2,37.7294542894,68.4691429122,4580717.244921874,431504.1186781239,,
144,2,1001.89904586,77326.2259344,4580860.819249408,426828.6076318408,,
145,2,37.7294542894,68.4691429122,4580707.655078125,431843.7085218749,,
146,2,112.045411866,539.869141578,4580696.104979227,431544.6933728946,,
147,2,37.7294542906,68.469142917,4580657.655078124,431853.7085218752,,
148,2,1628.8866475,49404.2227963,4580877.405896,431706.15570332174,,
149,2,37.7294542914,68.4691429202,4580617.655078126,431813.7085218756,,
150,3,403.863014591,11432.2674676,4580593.891544942,430079.9609310346,,
151,3,879.547137195,57565.9342024,4580667.48101757,430401.37459986703,,
153,2,40.0000000019,100.000000009,4580527.450000001,432263.91360000096,,
155,2,40.0,100.0,4580497.449999999,432253.9136000005,,
159,3,595.318361868,23061.1336359,4580548.895539287,432198.63957539445,,
160,2,752.59062441,36192.719934,4580326.449087071,431540.1883124661,,
165,2,72658.7147179,14758584.7267,4582405.013038794,430733.6211986244,,
166,2,850.581887707,55144.6927752,4579443.007534556,430282.28648087336,,
